ID,Disease Name,Category,Symptom Description,Leaf Color,Spots Present,Humidity (%),Temperature (°C),Soil pH,Cause
1696,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,64.9,22.6,5.6,Chemical
1697,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,77.8,16.8,5.2,Fungus
1698,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,47.9,33.0,5.0,Virus
1699,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,63.2,32.7,6.6,Virus
1700,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,55.7,18.5,6.5,Chemical
1701,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,56.0,16.0,6.5,Fungus
1702,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,44.5,18.0,5.5,Bacteria
1703,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,46.7,31.0,6.5,Environmental
1704,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,75.4,22.7,4.9,Environmental
1705,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,40.0,25.7,6.7,Fungus
1706,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,41.8,26.2,4.9,Fungus
1707,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,41.3,24.5,6.3,Chemical
1708,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,80.1,27.5,7.2,Fungus
1709,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,55.7,28.5,6.6,Bacteria
1710,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,89.6,19.7,6.2,Bacteria
1711,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,73.0,23.1,4.6,Virus
1712,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,48.5,15.6,4.9,Fungus
1713,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,83.3,27.7,6.7,Fungus
1714,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,51.6,16.3,6.4,Environmental
1715,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,72.1,20.8,5.9,Chemical
1716,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,45.1,25.7,7.1,Fungus
1717,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,46.9,22.5,4.7,Virus
1718,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,70.8,32.7,5.0,Bacteria
1719,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,58.2,15.8,6.2,Virus
1720,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,56.8,23.8,4.8,Virus
1721,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,68.7,31.6,4.7,Chemical
1722,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,45.4,25.7,5.2,Virus
1723,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,89.0,26.9,4.9,Environmental
1724,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,65.2,29.0,6.3,Environmental
1725,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,74.2,33.9,5.4,Fungus
1726,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,57.6,29.4,5.1,Bacteria
1727,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,40.6,30.7,5.2,Chemical
1728,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,46.6,28.1,5.1,Environmental
1729,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,52.7,33.8,4.7,Environmental
1730,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,72.2,17.9,6.7,Environmental
1731,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,52.5,22.6,4.6,Virus
1732,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,65.5,33.9,5.9,Environmental
1733,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,65.0,30.2,4.8,Virus
1734,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,49.9,32.1,5.0,Chemical
1735,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,45.4,22.2,6.0,Fungus
1736,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,80.5,24.4,5.6,Virus
1737,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,52.8,27.1,6.5,Deficiency
1738,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,62.3,19.0,5.5,Deficiency
1739,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,66.3,16.1,4.6,Environmental
1740,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,70.9,23.3,5.7,Virus
1741,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,88.8,22.4,7.4,Bacteria
1742,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,61.2,33.7,5.8,Bacteria
1743,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,56.9,18.5,6.6,Environmental
1744,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,60.8,32.2,6.0,Fungus
1745,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,55.1,17.8,6.4,Virus
1746,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,89.8,32.0,7.5,Chemical
1747,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,50.4,24.8,7.1,Fungus
1748,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,72.4,33.9,7.1,Chemical
1749,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,85.6,25.2,6.4,Chemical
1750,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,51.5,18.0,5.4,Deficiency
1751,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,44.8,32.4,6.9,Deficiency
1752,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,87.3,16.9,6.3,Bacteria
1753,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,77.1,31.4,7.1,Bacteria
1754,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,89.3,15.8,5.1,Environmental
1755,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,75.4,30.2,4.6,Fungus
1756,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,57.1,24.8,4.7,Fungus
1757,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,54.2,32.2,5.5,Deficiency
1758,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,74.4,23.1,6.7,Fungus
1759,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,75.6,23.2,7.0,Environmental
1760,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,60.8,30.4,5.5,Deficiency
1761,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,74.6,34.4,7.5,Chemical
1762,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,65.7,27.6,4.8,Environmental
1763,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,79.6,34.6,5.2,Fungus
1764,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,55.3,20.2,7.4,Chemical
1765,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,69.1,33.3,7.3,Fungus
1766,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,70.6,32.7,5.4,Fungus
1767,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,44.4,31.3,5.2,Environmental
1768,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,54.1,17.3,7.3,Environmental
1769,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,69.1,17.9,7.2,Virus
1770,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,58.3,28.5,7.3,Environmental
1771,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,55.2,21.6,7.2,Virus
1772,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,78.1,32.6,5.4,Bacteria
1773,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,56.3,18.2,6.6,Fungus
1774,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,55.4,31.3,5.2,Virus
1775,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,43.9,27.0,4.6,Deficiency
1776,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,40.3,16.8,7.2,Environmental
1777,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,82.3,18.5,4.8,Deficiency
1778,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,40.3,18.0,4.6,Environmental
1779,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,58.0,21.0,5.3,Environmental
1780,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,69.4,30.7,6.3,Virus
1781,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,56.8,31.3,7.2,Environmental
1782,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,66.5,30.5,6.3,Fungus
1783,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,46.6,29.2,4.8,Deficiency
1784,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,45.9,26.3,4.6,Virus
1785,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,82.6,33.5,5.5,Virus
1786,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,56.3,27.4,5.5,Fungus
1787,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,62.7,30.0,6.7,Fungus
1788,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,73.2,32.5,5.1,Fungus
1789,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,66.9,22.2,5.7,Virus
1790,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,64.9,31.1,6.5,Fungus
1791,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,88.1,24.7,6.4,Fungus
1792,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,84.1,32.6,6.0,Fungus
1793,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,66.9,22.6,5.7,Chemical
1794,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,45.6,34.6,5.2,Fungus
1795,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,77.3,18.3,5.8,Environmental
1796,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,65.4,26.1,6.8,Fungus
1797,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,84.3,18.7,6.0,Deficiency
1798,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,65.2,27.4,6.5,Environmental
1799,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,69.6,22.3,7.3,Environmental
1800,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,74.8,21.7,6.6,Virus
1801,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,63.4,20.0,6.8,Chemical
1802,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,70.2,19.3,6.4,Fungus
1803,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,81.1,20.5,6.3,Bacteria
1804,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,68.6,30.0,6.1,Deficiency
1805,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,64.4,17.2,4.8,Fungus
1806,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,73.8,27.3,4.5,Fungus
1807,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,51.3,26.3,6.1,Environmental
1808,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,53.7,22.1,5.5,Virus
1809,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,41.7,18.8,4.5,Virus
1810,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,64.3,17.2,5.1,Fungus
1811,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,56.9,17.1,5.7,Environmental
1812,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,85.0,23.3,5.8,Fungus
1813,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,43.5,25.2,7.3,Fungus
1814,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,69.5,28.9,6.1,Fungus
1815,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,75.0,23.4,4.7,Fungus
1816,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,70.2,25.4,5.3,Fungus
1817,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,72.9,15.5,5.0,Bacteria
1818,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,53.4,27.3,4.9,Deficiency
1819,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,47.0,19.4,7.1,Virus
1820,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,56.5,23.4,7.2,Environmental
1821,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,44.1,30.2,7.0,Chemical
1822,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,48.2,18.0,5.2,Environmental
1823,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,65.1,19.7,5.2,Fungus
1824,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,73.0,21.4,5.2,Fungus
1825,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,71.3,32.7,5.7,Fungus
1826,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,87.0,25.1,6.7,Virus
1827,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,53.3,27.0,5.6,Environmental
1828,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,67.3,20.7,5.5,Bacteria
1829,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,86.0,20.0,7.2,Virus
1830,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,70.1,26.3,5.1,Chemical
1831,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,56.2,27.5,6.9,Environmental
1832,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,65.2,27.3,5.9,Fungus
1833,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,76.2,22.7,4.6,Fungus
1834,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,69.1,18.8,5.5,Environmental
1835,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,71.8,31.6,5.0,Deficiency
1836,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,70.4,31.1,6.3,Bacteria
1837,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,49.2,22.3,7.0,Environmental
1838,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,52.2,19.8,4.9,Fungus
1839,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,66.6,20.1,7.3,Bacteria
1840,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,77.2,33.9,5.2,Deficiency
1841,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,85.0,33.5,7.5,Chemical
1842,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,53.9,26.3,5.6,Chemical
1843,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,65.7,20.6,5.4,Bacteria
1844,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,72.6,19.5,6.4,Chemical
1845,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,54.8,16.2,5.6,Fungus
1846,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,81.1,23.0,4.8,Bacteria
1847,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,44.1,29.6,6.2,Bacteria
1848,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,56.9,28.4,5.2,Fungus
1849,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,55.7,29.1,5.7,Deficiency
1850,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,80.1,16.1,6.6,Fungus
1851,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,62.1,27.0,5.0,Fungus
1852,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,41.5,17.5,5.0,Chemical
1853,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,66.4,16.5,5.2,Virus
1854,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,61.0,24.9,6.1,Fungus
1855,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,40.2,27.6,7.5,Bacteria
1856,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,53.7,26.1,5.6,Deficiency
1857,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,69.5,25.9,6.1,Fungus
1858,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,67.1,19.8,5.8,Chemical
1859,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,47.6,19.0,5.8,Environmental
1860,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,77.9,25.2,5.8,Virus
1861,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,55.2,30.2,6.0,Deficiency
1862,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,54.3,29.7,6.9,Virus
1863,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,77.2,20.2,6.4,Virus
1864,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,63.9,31.9,7.2,Virus
1865,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,82.4,27.9,5.3,Fungus
1866,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,65.5,15.6,6.7,Chemical
1867,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,88.9,24.5,6.1,Deficiency
1868,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,88.7,21.3,5.8,Bacteria
1869,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,51.7,19.4,7.1,Fungus
1870,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,86.6,22.6,6.1,Virus
1871,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,60.7,21.8,5.0,Fungus
1872,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,69.4,20.5,5.3,Environmental
1873,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,77.0,31.0,6.4,Chemical
1874,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,41.7,33.9,6.9,Fungus
1875,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,56.7,25.7,5.4,Virus
1876,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,51.8,16.1,4.8,Fungus
1877,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,45.0,24.6,6.0,Fungus
1878,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,81.5,24.0,5.6,Virus
1879,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,72.7,34.4,5.9,Chemical
1880,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,54.3,30.4,5.2,Virus
1881,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,68.0,27.2,6.2,Virus
1882,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,74.2,24.6,6.1,Environmental
1883,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,69.1,24.0,5.1,Deficiency
1884,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,89.6,27.3,6.6,Chemical
1885,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,48.6,34.4,6.8,Fungus
1886,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,87.2,29.1,5.6,Fungus
1887,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,53.5,16.6,6.1,Fungus
1888,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,64.4,24.4,5.4,Environmental
1889,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,68.0,27.2,7.5,Virus
1890,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,80.9,22.1,4.7,Bacteria
1891,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,52.3,25.2,4.6,Fungus
1892,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,75.9,28.4,5.9,Environmental
1893,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,53.4,22.9,5.9,Deficiency
1894,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,78.1,31.0,7.1,Fungus
1895,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,74.3,23.1,7.2,Environmental
1896,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,82.2,27.0,7.4,Deficiency
1897,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,48.8,26.3,5.4,Fungus
1898,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,55.0,23.5,5.1,Deficiency
1899,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,84.4,22.2,5.2,Virus
1900,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,51.1,25.3,5.4,Fungus
1901,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,57.5,21.3,4.7,Virus
1902,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,49.6,24.7,5.4,Fungus
1903,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,65.9,28.9,5.5,Bacteria
1904,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,61.1,28.3,6.8,Virus
1905,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,69.2,15.7,5.4,Environmental
1906,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,50.5,30.2,7.2,Fungus
1907,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,83.9,22.2,7.0,Environmental
1908,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,63.3,16.5,6.1,Environmental
1909,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,81.7,17.3,5.8,Chemical
1910,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,67.4,34.7,6.5,Fungus
1911,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,71.5,33.2,4.8,Bacteria
1912,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,79.3,19.8,5.3,Environmental
1913,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,80.1,22.7,7.2,Deficiency
1914,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,41.8,18.9,4.9,Fungus
1915,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,41.1,31.2,7.5,Deficiency
1916,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,78.9,21.2,5.3,Environmental
1917,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,82.2,30.8,6.2,Fungus
1918,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,69.3,16.8,6.4,Environmental
1919,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,49.6,23.7,6.7,Chemical
1920,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,70.2,31.5,5.9,Chemical
1921,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,75.4,17.2,5.9,Deficiency
1922,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,42.9,19.9,7.4,Virus
1923,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,43.9,17.7,7.3,Virus
1924,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,67.7,28.8,6.1,Chemical
1925,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,79.3,34.7,6.0,Virus
1926,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,83.6,31.8,6.6,Environmental
1927,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,83.6,26.9,7.2,Environmental
1928,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,65.2,24.4,5.2,Fungus
1929,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,71.5,26.3,6.5,Fungus
1930,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,82.7,25.9,5.2,Fungus
1931,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,70.5,34.7,6.5,Fungus
1932,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,74.8,23.5,4.9,Deficiency
1933,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,55.0,31.4,5.5,Environmental
1934,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,60.4,22.8,7.3,Virus
1935,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,69.3,27.7,7.5,Environmental
1936,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,84.7,18.2,4.7,Virus
1937,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,69.3,29.9,6.2,Environmental
1938,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,84.6,30.6,4.9,Virus
1939,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,79.2,27.8,6.7,Environmental
1940,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,60.1,30.0,7.0,Fungus
1941,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,45.8,17.0,5.6,Environmental
1942,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,45.3,30.7,6.3,Bacteria
